Ventas_id,Codigo,Producto,Precio,Fecha,Cantidad
1,22042022205736,1,250.5,22042022,1
2,22042022205736,2,150.0,22042022,1
3,22042022205736,3,230.0,22042022,1
4,22042022205736,4,215.3,22042022,1
5,22042022205745,3,230.0,22042022,1
6,22042022205745,4,215.3,22042022,1
7,22042022205745,5,125.0,22042022,1
8,22042022205811,1,250.5,22042022,1
9,22042022205811,2,150.0,22042022,1
10,22042022205811,3,230.0,22042022,1
11,29042022125851,2,150.0,29042022,1
12,29042022125851,3,230.0,29042022,1
13,29042022125851,2,150.0,29042022,1
14,29042022125851,3,230.0,29042022,1
15,29042022125851,4,215.3,29042022,1
16,29042022143039,2,150.0,29042022,1
17,29042022143039,3,230.0,29042022,1
18,29042022143039,4,215.3,29042022,1
19,29042022143039,3,230.0,29042022,1
20,29042022153605,1,250.5,29042022,1
21,29042022153605,2,150.0,29042022,1
22,29042022153605,3,230.0,29042022,1
23,29042022153659,1,250.5,29042022,1
24,29042022153659,2,450.0,29042022,3
25,29042022153659,3,230.0,29042022,1
26,9052022090947,2,150.0,9052022,1
27,9052022090947,3,230.0,9052022,1
28,9052022090947,4,215.3,9052022,1
29,9052022090947,5,125.0,9052022,1
30,9052022092827,3,230.0,9052022,1
31,9052022092827,4,215.3,9052022,1
32,9052022092827,5,125.0,9052022,1
33,9052022092827,4,215.3,9052022,1
34,9052022092827,3,230.0,9052022,1
35,9052022092827,2,150.0,9052022,1
36,20220509093205,1,250.5,9052022,1
37,20220509093205,2,150.0,9052022,1
38,20220509093205,3,230.0,9052022,1
39,20220509093205,4,215.3,9052022,1
40,20220509093205,5,125.0,9052022,1
41,20220509093653,1,250.5,20220509,1
42,20220509093653,2,150.0,20220509,1
43,20220509093653,3,230.0,20220509,1
